AT,DVT,ED,ED-DVT,Δ,Δ-DVT,NEO,NEO-DVT
3.632162082062231345e-01,5.427111315820174475e-01,8.803453564340182336e-01,9.055449717380035235e-01,5.071625389684299989e-01,5.302335453967652601e-01,9.187535554530241733e-01,9.416488903265558541e-01
3.862576979436643798e-01,5.658649964329377502e-01,8.791023069793810762e-01,9.045590605966328246e-01,5.323253694955895066e-01,5.547541194705158940e-01,9.219554766625259745e-01,9.456046969981528605e-01
4.098786382191156874e-01,5.892059565466711835e-01,8.770597323054619698e-01,9.025607134609631155e-01,5.572608271629836407e-01,5.801833081109272205e-01,9.252193326212352353e-01,9.497804850891624628e-01
4.343483594358507616e-01,6.123169888396402527e-01,8.755278214979715923e-01,9.007960167037887267e-01,5.820179189483528637e-01,6.045749785338224713e-01,9.276338374714371282e-01,9.528382935811671173e-01
4.587953365313893750e-01,6.349811675717287329e-01,8.740697227006380965e-01,8.994745613937904505e-01,6.071342573914080276e-01,6.292850418826343439e-01,9.299653281082922440e-01,9.555641532601100163e-01
4.840065557878652225e-01,6.580544365937108786e-01,8.729213901759658167e-01,8.982872500210761224e-01,6.315177842447824430e-01,6.542344123332815009e-01,9.323329761474867805e-01,9.582975469157724024e-01
5.109408847343992477e-01,6.809983267984028865e-01,8.724199471617550827e-01,8.974851951138375084e-01,6.560033067399021478e-01,6.782681200280632483e-01,9.345769477976897388e-01,9.608210549458204852e-01
5.370130661454094456e-01,7.027306186978562463e-01,8.714547958354240675e-01,8.964115449673044633e-01,6.794870512633921500e-01,7.013815828929397256e-01,9.363103599613900041e-01,9.630393611887906324e-01
5.644116425834728723e-01,7.245016772370531655e-01,8.711935455431474296e-01,8.962932954496152238e-01,7.028668556072676932e-01,7.246690868735093938e-01,9.377206066296934761e-01,9.649578374749270271e-01
5.915951924922664418e-01,7.451278395582979774e-01,8.705678540767795015e-01,8.956474166108203683e-01,7.258422253061957985e-01,7.468624103133696401e-01,9.389116519474509648e-01,9.663376293303829190e-01
6.180563644324237327e-01,7.649740902980386448e-01,8.701487271371076693e-01,8.950951908690419900e-01,7.470082215297988437e-01,7.677812624678277409e-01,9.395519760456350067e-01,9.674591538181889216e-01
6.447760482567694851e-01,7.836552259112008478e-01,8.700944031308029958e-01,8.947898098402709000e-01,7.675555445103696695e-01,7.877372138394855838e-01,9.403992642956633397e-01,9.686174837532490756e-01
6.712592510169598237e-01,8.019382521085651749e-01,8.699779583279971806e-01,8.946237355881025977e-01,7.868395200883866458e-01,8.062760323189199774e-01,9.410299162250016503e-01,9.694760454571770270e-01
6.957823771858894224e-01,8.180664054215621706e-01,8.698057862880391733e-01,8.945508325359847746e-01,8.049476877164232214e-01,8.237968424602850614e-01,9.415333216033019426e-01,9.702110411930322531e-01
7.201066709172379010e-01,8.333086582781623619e-01,8.694013834166377519e-01,8.941074398508218612e-01,8.220608495388260772e-01,8.408549841584782580e-01,9.420293545487516962e-01,9.707636051157854107e-01
7.443126745877285400e-01,8.476001121414153960e-01,8.695189093194137797e-01,8.942468089418639243e-01,8.376453463897113316e-01,8.559249849149307421e-01,9.422632434466212681e-01,9.710030744265003566e-01
7.660226329363433173e-01,8.602161602413095354e-01,8.696315177569451382e-01,8.943083547551431423e-01,8.517688121159310288e-01,8.697641185371720596e-01,9.423389098684973320e-01,9.712005364543063735e-01
7.859892810315349809e-01,8.712105811983500425e-01,8.699637387248499998e-01,8.946571369019068465e-01,8.644066365565905574e-01,8.816015281992073405e-01,9.424723072609448860e-01,9.713630527691412553e-01
8.050241206860457854e-01,8.803749479768961939e-01,8.702254210823928693e-01,8.948138807781778059e-01,8.753725029594222606e-01,8.922856183194163293e-01,9.424147041254353763e-01,9.714545654531177021e-01
8.233170380370764541e-01,8.895262482556336447e-01,8.703790806442697203e-01,8.952739138079253145e-01,8.855838141251056728e-01,9.020624130680328090e-01,9.420897128952058219e-01,9.713672894629645782e-01
8.392443495287724708e-01,8.969436677068021169e-01,8.705783925742467400e-01,8.956717965626300737e-01,8.946950402756033149e-01,9.105553892855462461e-01,9.417761825190577030e-01,9.710110067105413023e-01
8.534307535202348971e-01,9.030436858733803529e-01,8.707537133680751662e-01,8.958110275635793318e-01,9.032138304216270619e-01,9.182532025420222510e-01,9.414026500469245828e-01,9.707243192023079503e-01
8.664504723960948507e-01,9.088267354072528947e-01,8.707104929465627752e-01,8.957413479862587069e-01,9.101162419665911330e-01,9.245599473219323627e-01,9.404376537866053765e-01,9.698264893709218626e-01
8.781285382339625301e-01,9.132415797157515946e-01,8.708775944612237030e-01,8.962219531965645025e-01,9.167371462526057169e-01,9.305898395538398926e-01,9.397324166431264558e-01,9.692135713259935059e-01
8.886428638078729403e-01,9.169550422654761945e-01,8.708779445405089303e-01,8.962999281244128369e-01,9.214535865297743822e-01,9.347729355199280166e-01,9.390899116765626387e-01,9.684368152203832736e-01
8.975544495952625379e-01,9.199439468527685904e-01,8.708218606149152885e-01,8.964441148927548841e-01,9.256515728284606670e-01,9.384219146302590353e-01,9.384240097341516318e-01,9.678296333108213911e-01
9.040512046187207940e-01,9.214795562931544781e-01,8.705989239709336358e-01,8.963351274268893665e-01,9.286622020089454477e-01,9.409450683157195572e-01,9.374682440552140061e-01,9.668825454292103716e-01
9.102862331005343588e-01,9.219302751689386621e-01,8.704233958349569811e-01,8.961129919198359550e-01,9.316867186765499520e-01,9.431308607922697096e-01,9.364726143650223822e-01,9.657830485840634971e-01
9.152604328851451365e-01,9.215686595953258564e-01,8.706483508547895322e-01,8.964045050623565825e-01,9.333411822487666099e-01,9.444357234472122720e-01,9.350333232546952367e-01,9.643276376558378438e-01
9.184060055172394987e-01,9.211002586008204540e-01,8.707497672949360279e-01,8.965200553188952259e-01,9.346241625246513030e-01,9.450229255793399785e-01,9.337563680285108081e-01,9.630178011453658371e-01
9.201178618800953668e-01,9.200289532961191119e-01,8.707908379416857692e-01,8.966033909351409648e-01,9.358055225882653261e-01,9.452201309170418231e-01,9.324254839368582015e-01,9.615828362343932234e-01
9.215971042352026910e-01,9.181367992408451251e-01,8.707633670568203366e-01,8.964893183293793921e-01,9.363652273086074951e-01,9.450853315119662756e-01,9.306705807554921384e-01,9.597924661572299065e-01
9.223381110639961022e-01,9.157749086379752823e-01,8.708198666752448025e-01,8.966398457329181060e-01,9.365591495457135096e-01,9.439979376485149176e-01,9.288265074484297612e-01,9.579145526441692482e-01
9.225341850758062012e-01,9.131618756073650589e-01,8.707382456437888774e-01,8.966637650443313179e-01,9.363819101611119411e-01,9.426402656867240992e-01,9.264488500038168262e-01,9.553236525948662905e-01
9.212112823694811325e-01,9.098237126538155639e-01,8.707534607732669851e-01,8.965974859647127815e-01,9.359678576907657366e-01,9.414560807655220076e-01,9.243981905339631044e-01,9.531298240835699431e-01
9.192831702629771229e-01,9.059199716725379048e-01,8.709962876067893767e-01,8.967075302300926420e-01,9.351011851688231236e-01,9.397258376571469007e-01,9.216844427682040486e-01,9.503286796407490744e-01
9.166743981353550064e-01,9.019736167071323862e-01,8.710163719784709269e-01,8.968695182655677112e-01,9.340505991860676982e-01,9.380085432413329816e-01,9.188439479545360555e-01,9.475097252116690960e-01
9.136694339316420166e-01,8.976667746952149418e-01,8.710103685125603068e-01,8.969703472677477141e-01,9.325027829678269597e-01,9.354961094116329701e-01,9.159852918025784829e-01,9.445832445230397667e-01
9.107542075461445563e-01,8.932304928182417392e-01,8.711647904713644142e-01,8.971351122444927162e-01,9.305117203743591414e-01,9.327693296023451541e-01,9.131282158326419207e-01,9.415153985187935115e-01
9.070224275101497202e-01,8.880805267971280115e-01,8.709594973598915324e-01,8.970691923535032419e-01,9.282458433449171098e-01,9.302191583105261508e-01,9.098632861804714089e-01,9.381082717059092690e-01
9.026760155778389416e-01,8.827552865335983601e-01,8.710163102172205907e-01,8.970955013500673259e-01,9.260422792060636343e-01,9.269809862037673431e-01,9.067788707099486700e-01,9.347917621147520117e-01
8.980556249921500811e-01,8.767451861604964591e-01,8.710175147298293563e-01,8.970656168254262930e-01,9.236490787355597920e-01,9.237155654377131597e-01,9.041735345714635441e-01,9.320806361205307145e-01
8.926594461038135364e-01,8.703367589523587355e-01,8.709342972309900288e-01,8.970910597116458218e-01,9.203817657880360992e-01,9.195161585082367584e-01,9.014088020792032641e-01,9.291750759817720695e-01
8.874581241900970641e-01,8.639902383467983338e-01,8.709065719128616934e-01,8.969976781304804803e-01,9.167299882432875524e-01,9.152138961322537902e-01,8.986979519789599635e-01,9.262858763504506765e-01
8.817515818637388092e-01,8.572463208713280158e-01,8.708836420993910643e-01,8.970801696218020371e-01,9.128056146582983477e-01,9.108044486574653487e-01,8.958609894323674716e-01,9.232347965021781011e-01
8.745661854971698013e-01,8.493484136630449211e-01,8.707831257113942680e-01,8.968831607438432219e-01,9.087128657754937056e-01,9.061216840470074363e-01,8.936143905760448591e-01,9.208455034525262484e-01
8.675952526717545243e-01,8.415690455783593205e-01,8.706723251373500450e-01,8.967522232207920663e-01,9.041435390780612202e-01,9.011815491704147085e-01,8.912388646387205959e-01,9.183991126283969075e-01
8.607888746926960488e-01,8.340515032731683487e-01,8.705726460995043547e-01,8.966252718142686540e-01,8.996086677091306161e-01,8.966433943765979020e-01,8.893470166274950461e-01,9.164185856648027206e-01
8.530931079135601891e-01,8.254194727604686754e-01,8.702437892671539554e-01,8.960951469542651759e-01,8.950184498520423748e-01,8.916579490257949825e-01,8.874355524012423890e-01,9.144357387489656652e-01
8.457969403363999605e-01,8.170657837414859737e-01,8.700459202486481303e-01,8.959693256578660225e-01,8.907897580577355257e-01,8.871348047848743867e-01,8.857565355321345146e-01,9.127389673218786470e-01
8.376060746402891333e-01,8.081367253444623477e-01,8.698612564281569259e-01,8.956841099645151960e-01,8.871289216196021066e-01,8.833217845452379091e-01,8.844845656852624582e-01,9.114322433444705940e-01
8.294573685094388527e-01,7.988827556134148189e-01,8.696795885806447579e-01,8.956248474857075870e-01,8.839697025590468327e-01,8.795249825460864646e-01,8.831237374495375381e-01,9.100895830937500985e-01
